target_user,other_user,No_common_users
50855,108967,5
50855,131630,5
50855,45689,5
50855,57013,5
50855,68260,5
50855,71010,5
50855,20788,5
50855,53584,5
50855,20801,5
50855,131275,5
50855,1244,5
50855,68264,5
50855,3277,5
50855,30043,5
50855,71093,5
50855,110048,5
50855,130721,5
50855,130710,5
50855,41384,5
50855,82581,5
50855,118106,5
50855,38802,5
50855,130602,5
50855,82578,5
50855,130535,5
50855,21165,5
50855,82518,5
50855,38904,5
50855,59255,4
50855,70902,4
50855,68558,4
50855,6132,4
50855,122995,4
50855,23946,4
50855,122984,4
50855,122973,4
50855,66427,4
50855,122882,4
50855,8963,4
50855,122879,4
50855,77956,4
50855,122745,4
50855,3157,4
50855,7858,4
50855,58641,4
50855,104973,4
50855,122572,4
50855,41337,4
50855,110609,4
50855,3184,4
50855,122559,4
50855,24043,4
50855,108181,4
50855,122520,4
50855,55975,4
50855,59269,4
50855,24071,4
50855,110525,4
50855,3251,4
50855,68575,4
50855,122364,4
50855,24088,4
50855,122318,4
50855,122311,4
50855,122300,4
50855,78770,4
50855,115005,4
50855,122251,4
50855,3316,4
50855,78736,4
50855,104141,4
50855,70787,4
50855,110403,4
50855,6232,4
50855,45644,4
50855,9614,4
50855,7961,4
50855,26480,4
50855,114947,4
50855,122027,4
50855,122012,4
50855,56063,4
50855,26492,4
50855,24205,4
50855,80386,4
50855,121747,4
50855,114898,4
50855,114897,4
50855,41491,4
50855,3487,4
50855,121682,4
50855,114805,4
50855,10460,4
50855,121637,4
50855,56120,4
50855,57735,4
50855,3550,4
50855,66055,4
50855,78696,4
50855,45962,4
50855,114717,4
50855,41586,4
50855,3596,4
50855,66470,4
50855,9070,4
50855,29194,4
50855,110278,4
50855,27894,4
50855,69655,4
50855,8083,4
50855,9649,4
50855,6405,4
50855,57787,4
50855,114645,4
50855,114624,4
50855,26640,4
50855,45669,4
50855,106770,4
50855,44546,4
50855,44548,4
50855,8135,4
50855,3761,4
50855,69606,4
50855,107861,4
50855,24475,4
50855,71001,4
50855,66484,4
50855,104123,4
50855,121062,4
50855,121051,4
50855,110004,4
50855,120968,4
50855,77734,4
50855,43545,4
50855,24527,4
50855,120890,4
50855,66486,4
50855,56269,4
50855,8158,4
50855,56270,4
50855,3895,4
50855,78556,4
50855,114270,4
50855,70889,4
50855,80207,4
50855,114183,4
50855,41736,4
50855,120754,4
50855,70854,4
50855,6540,4
50855,114043,4
50855,76891,4
50855,9145,4
50855,6578,4
50855,80185,4
50855,109980,4
50855,120575,4
50855,59373,4
50855,9160,4
50855,10055,4
50855,4038,4
50855,106643,4
50855,120500,4
50855,120446,4
50855,45709,4
50855,67010,4
50855,28023,4
50855,113954,4
50855,8218,4
50855,56358,4
50855,120376,4
50855,120312,4
50855,113926,4
50855,109943,4
50855,26808,4
50855,58824,4
50855,120179,4
50855,107760,4
50855,113898,4
50855,10568,4
50855,113895,4
50855,41887,4
50855,28786,4
50855,120084,4
50855,26833,4
50855,109910,4
50855,58841,4
50855,57980,4
50855,119989,4
50855,66732,4
50855,119916,4
50855,119915,4
50855,56492,4
50855,6722,4
50855,107720,4
50855,119869,4
50855,109864,4
50855,4244,4
50855,9732,4
50855,58851,4
50855,104778,4
50855,56521,4
50855,4281,4
50855,29261,4
50855,119796,4
50855,71399,4
50855,109761,4
50855,4308,4
50855,71342,4
50855,119701,4
50855,43706,4
50855,4329,4
50855,46262,4
50855,28086,4
50855,6781,4
50855,28094,4
50855,24887,4
50855,113649,4
50855,4373,4
50855,109696,4
50855,4389,4
50855,59424,4
50855,107640,4
50855,109599,4
50855,56957,4
50855,6819,4
50855,113584,4
50855,17516,4
50855,109565,4
50855,21302,4
50855,53908,4
50855,130322,4
50855,28837,4
50855,28125,4
50855,10553,4
50855,104769,4
50855,119467,4
50855,119466,4
50855,66201,4
50855,53931,4
50855,119421,4
50855,119412,4
50855,46424,4
50855,46425,4
50855,60416,4
50855,30129,4
50855,38936,4
50855,30137,4
50855,30140,4
50855,130254,4
50855,106562,4
50855,6874,4
50855,38965,4
50855,103709,4
50855,4507,4
50855,10761,4
50855,103702,4
50855,91,4
50855,103659,4
50855,68461,4
50855,103645,4
50855,30256,4
50855,38976,4
50855,53950,4
50855,103521,4
50855,60518,4
50855,103501,4
50855,103449,4
50855,10863,4
50855,60533,4
50855,119410,4
50855,46545,4
50855,103372,4
50855,4519,4
50855,130006,4
50855,10940,4
50855,76374,4
50855,24990,4
50855,106537,4
50855,10977,4
50855,103329,4
50855,29604,4
50855,65581,4
50855,46606,4
50855,131,4
50855,60629,4
50855,103235,4
50855,103221,4
50855,46629,4
50855,26951,4
50855,129863,4
50855,60664,4
50855,67145,4
50855,21421,4
50855,103090,4
50855,59747,4
50855,30507,4
50855,103028,4
50855,30519,4
50855,46689,4
50855,103027,4
50855,79872,4
50855,129854,4
50855,103003,4
50855,119349,4
50855,11189,4
50855,46732,4
50855,129832,4
50855,102821,4
50855,129829,4
50855,129819,4
50855,8410,4
50855,59998,4
50855,46764,4
50855,129753,4
50855,129749,4
50855,30652,4
50855,102599,4
50855,11319,4
50855,109326,4
50855,66239,4
50855,129666,4
50855,46820,4
50855,30731,4
50855,109312,4
50855,102369,4
50855,102363,4
50855,11424,4
50855,102279,4
50855,129595,4
50855,119285,4
50855,54062,4
50855,119223,4
50855,102098,4
50855,30825,4
50855,109306,4
50855,283,4
50855,67179,4
50855,66533,4
50855,29976,4
50855,76118,4
50855,39102,4
50855,30896,4
50855,46964,4
50855,101887,4
50855,101828,4
50855,82202,4
50855,101704,4
50855,101703,4
50855,119197,4
50855,47053,4
50855,77060,4
50855,11712,4
50855,42208,4
50855,39114,4
50855,113304,4
50855,76030,4
50855,11722,4
50855,76024,4
50855,75970,4
50855,47075,4
50855,4600,4
50855,343,4
50855,101567,4
50855,129388,4
50855,65600,4
50855,359,4
50855,101458,4
50855,101452,4
50855,47150,4
50855,129255,4
50855,101155,4
50855,101136,4
50855,47178,4
50855,82188,4
50855,67246,4
50855,45395,4
50855,6976,4
50855,61157,4
50855,11924,4
50855,6978,4
50855,47217,4
50855,31246,4
50855,47219,4
50855,100928,4
50855,56742,4
50855,388,4
50855,100903,4
50855,100713,4
50855,78393,4
50855,12026,4
50855,82110,4
50855,39164,4
50855,61213,4
50855,100596,4
50855,113256,4
50855,47308,4
50855,71188,4
50855,75948,4
50855,6988,4
50855,100504,4
50855,100500,4
50855,113209,4
50855,75804,4
50855,100423,4
50855,424,4
50855,27023,4
50855,61310,4
50855,56761,4
50855,47420,4
50855,61316,4
50855,31468,4
50855,12186,4
50855,12195,4
50855,75728,4
50855,100349,4
50855,113185,4
50855,12239,4
50855,47476,4
50855,100313,4
50855,60010,4
50855,47491,4
50855,100211,4
50855,100081,4
50855,12288,4
50855,100009,4
50855,12296,4
50855,47525,4
50855,61389,4
50855,43845,4
50855,99684,4
50855,129058,4
50855,449,4
50855,12360,4
50855,39208,4
50855,27040,4
50855,129032,4
50855,31675,4
50855,31680,4
50855,71181,4
50855,47600,4
50855,61487,4
50855,42268,4
50855,31716,4
50855,119017,4
50855,69481,4
50855,54200,4
50855,118999,4
50855,25171,4
50855,107580,4
50855,99324,4
50855,99296,4
50855,21678,4
50855,99240,4
50855,58952,4
50855,75540,4
50855,128931,4
50855,99201,4
50855,77534,4
50855,99164,4
50855,99156,4
50855,31838,4
50855,67330,4
50855,99142,4
50855,99103,4
50855,128898,4
50855,67340,4
50855,56792,4
50855,61667,4
50855,54214,4
50855,61699,4
50855,54223,4
50855,39249,4
50855,12670,4
50855,12672,4
50855,98948,4
50855,98924,4
50855,118955,4
50855,128805,4
50855,27051,4
50855,42290,4
50855,61729,4
50855,118942,4
50855,47840,4
50855,105640,4
50855,82062,4
50855,47855,4
50855,98818,4
50855,578,4
50855,82049,4
50855,12802,4
50855,98789,4
50855,59477,4
50855,75284,4
50855,47883,4
50855,118860,4
50855,98689,4
50855,32050,4
50855,47922,4
50855,25208,4
50855,12901,4
50855,12911,4
50855,47934,4
50855,98528,4
50855,7051,4
50855,614,4
50855,98320,4
50855,98288,4
50855,118831,4
50855,128690,4
50855,61848,4
50855,48000,4
50855,118813,4
50855,128656,4
50855,118777,4
50855,98165,4
50855,128621,4
50855,75210,4
50855,98144,4
50855,128591,4
50855,113135,4
50855,61904,4
50855,7058,4
50855,98092,4
50855,39367,4
50855,75173,4
50855,61951,4
50855,61960,4
50855,27065,4
50855,75162,4
50855,97853,4
50855,113011,4
50855,54325,4
50855,25260,4
50855,97845,4
50855,97826,4
50855,128411,4
50855,97804,4
50855,48162,4
50855,13256,4
50855,75013,4
50855,13278,4
50855,32386,4
50855,76595,4
50855,97756,4
50855,97738,4
50855,62032,4
50855,62040,4
50855,97686,4
50855,27104,4
50855,13345,4
50855,128361,4
50855,79768,4
50855,13367,4
50855,112975,4
50855,71826,4
50855,128356,4
50855,13403,4
50855,25286,4
50855,76737,4
50855,25296,4
50855,97398,4
50855,21967,4
50855,32509,4
50855,13444,4
50855,32514,4
50855,128347,4
50855,48309,4
50855,74960,4
50855,107433,4
50855,118416,4
50855,97279,4
50855,105624,4
50855,32555,4
50855,97192,4
50855,28248,4
50855,97163,4
50855,97141,4
50855,13531,4
50855,13543,4
50855,62142,4
50855,74937,4
50855,32618,4
50855,54397,4
50855,65694,4
50855,96937,4
50855,62188,4
50855,96909,4
50855,128252,4
50855,118371,4
50855,96684,4
50855,67495,4
50855,96665,4
50855,29343,4
50855,118361,4
50855,128170,4
50855,96597,4
50855,13781,4
50855,81871,4
50855,96523,4
50855,22060,4
50855,22061,4
50855,109090,4
50855,128159,4
50855,96226,4
50855,32861,4
50855,48581,4
50855,96144,4
50855,81818,4
50855,13899,4
50855,56919,4
50855,96050,4
50855,32919,4
50855,66282,4
50855,112873,4
50855,13930,4
50855,109082,4
50855,54453,4
50855,29918,4
50855,95951,4
50855,128077,4
50855,42429,4
50855,32980,4
50855,112685,4
50855,48636,4
50855,108996,4
50855,74579,4
50855,48644,4
50855,95827,4
50855,62431,4
50855,48677,4
50855,112655,4
50855,971,4
50855,14032,4
50855,128050,4
50855,14053,4
50855,95554,4
50855,95524,4
50855,39619,4
50855,128047,4
50855,74482,4
50855,70342,4
50855,42449,4
50855,95442,4
50855,128008,4
50855,118289,4
50855,14146,4
50855,14151,4
50855,33136,4
50855,28283,4
50855,5021,4
50855,128003,4
50855,62560,4
50855,39647,4
50855,112575,4
50855,127991,4
50855,14210,4
50855,95109,4
50855,74449,4
50855,77506,4
50855,33205,4
50855,33253,4
50855,28295,4
50855,70260,4
50855,25390,4
50855,127871,4
50855,74390,4
50855,1073,4
50855,48984,4
50855,127809,4
50855,1093,4
50855,74361,4
50855,25409,4
50855,127776,4
50855,127757,4
50855,14430,4
50855,118229,4
50855,94484,4
50855,7232,4
50855,71097,4
50855,5076,4
50855,79643,4
50855,22273,4
50855,62757,4
50855,14474,4
50855,14476,4
50855,76789,4
50855,67640,4
50855,14496,4
50855,69404,4
50855,1166,4
50855,127715,4
50855,43974,4
50855,39760,4
50855,81661,4
50855,46211,4
50855,81653,4
50855,22319,4
50855,71689,4
50855,62812,4
50855,33493,4
