target_item,other_item,No_coRated_items
1499,902,8
1499,2137,8
1499,8970,8
1499,69757,8
1499,63082,8
1499,1267,8
1499,968,8
1499,2140,8
1499,2067,8
1499,30812,8
1499,34405,8
1499,48780,8
1499,48516,8
1499,60684,8
1499,59315,8
1499,56367,8
1499,53125,8
1499,54286,8
1499,60,7
1499,58,7
1499,35836,7
1499,50872,7
1499,44665,7
1499,38061,7
1499,40819,7
1499,3275,7
1499,3911,7
1499,3556,7
1499,3683,7
1499,2125,7
1499,342,7
1499,345,7
1499,74458,7
1499,30749,7
1499,31658,7
1499,1269,7
1499,30793,7
1499,72998,7
1499,2336,7
1499,2369,7
1499,2688,7
1499,5971,7
1499,372,7
1499,382,7
1499,546,7
1499,105,7
1499,8464,7
1499,8784,7
1499,135,7
1499,7293,7
1499,6942,7
1499,1302,7
1499,1296,7
1499,1284,7
1499,24,7
1499,5013,7
1499,261,7
1499,246,7
1499,3000,7
1499,520,7
1499,215,7
1499,4855,7
1499,1960,7
1499,1020,7
1499,207,7
1499,4128,7
1499,1952,7
1499,1086,7
1499,1945,7
1499,1883,7
1499,5015,7
1499,230,6
1499,2243,6
1499,3424,6
1499,2020,6
1499,2064,6
1499,2313,6
1499,46578,6
1499,53996,6
1499,54001,6
1499,39183,6
1499,44555,6
1499,52,6
1499,830,6
1499,45499,6
1499,2076,6
1499,3504,6
1499,2384,6
1499,70286,6
1499,2359,6
1499,68157,6
1499,954,6
1499,300,6
1499,327,6
1499,68954,6
1499,475,6
1499,1411,6
1499,1409,6
1499,3210,6
1499,3174,6
1499,1441,6
1499,1350,6
1499,2528,6
1499,2501,6
1499,535,6
1499,531,6
1499,914,6
1499,852,6
1499,899,6
1499,491,6
1499,800,6
1499,5064,6
1499,18,6
1499,1212,6
1499,277,6
1499,2686,6
1499,81591,6
1499,1049,6
1499,2423,6
1499,866,6
1499,186,5
1499,79,5
1499,915,5
1499,1962,5
1499,272,5
1499,7373,5
1499,107,5
1499,3354,5
1499,319,5
1499,70,5
1499,2371,5
1499,47610,5
1499,1271,5
1499,64614,5
1499,71535,5
1499,837,5
1499,45,5
1499,52973,5
1499,1965,5
1499,2010,5
1499,805,5
1499,1257,5
1499,1254,5
1499,1299,5
1499,8529,5
1499,585,5
1499,1185,5
1499,1172,5
1499,2739,5
1499,2723,5
1499,1207,5
1499,4641,5
1499,4235,5
1499,1091,5
1499,236,5
1499,468,5
1499,2485,5
1499,2467,5
1499,247,5
1499,1449,5
1499,3060,5
1499,36529,4
1499,1272,4
1499,55765,4
1499,54503,4
1499,3317,4
1499,2728,4
1499,2788,4
1499,1179,4
1499,5902,4
1499,1103,4
1499,1125,4
1499,1244,4
1499,162,4
1499,78499,4
1499,743,4
1499,720,4
1499,3916,4
1499,3301,4
1499,741,4
1499,308,4
1499,637,4
1499,348,4
1499,2186,4
1499,362,4
1499,2116,4
1499,81845,4
1499,14,4
1499,4105,4
1499,203,4
1499,2300,4
1499,1175,4
1499,1635,4
1499,1077,4
1499,1357,4
1499,46976,3
1499,2108,3
1499,2150,3
1499,6218,3
1499,838,3
1499,3969,3
1499,307,3
1499,27773,3
1499,73017,3
1499,6016,3
1499,1292,3
1499,1041,3
1499,898,3
1499,1235,3
1499,5945,3
1499,1095,3
1499,280,3
1499,3168,3
1499,237,3
1499,80463,3
1499,1104,3
1499,671,2
1499,3100,2
1499,222,2
1499,994,2
1499,232,2
1499,515,2
1499,140,2
1499,1256,2
1499,276,2
1499,1228,2
1499,916,1
1499,538,1
1499,562,1
1499,194,1
